key,text
command.menu.title,NEXUS 命令
command.menu.subtitle,服务器、设置、身份
command.menu.settings,设置
command.menu.about,关于 NEXUS
common.close,关闭
common.save,保存
common.cancel,取消
common.delete,删除
common.rename,重命名
common.open,打开
common.copy,复制
common.cut,剪切
common.paste,粘贴
common.select_all,全选
common.duplicate,复制副本
common.refresh,刷新
common.ok,确定
common.help,帮助
common.restart_server,重启服务器
common.hand,移动画布
common.select,选择节点
common.standby,待机
common.recover_boot,恢复并启动
common.retry_boot,重试引导
common.online,在线
common.ready,就绪
common.saved,已保存
core_link.reset_title,系统重置
core_link.reset_message,终止 Core Link 并重置配置？
core_link.terminate,终止
core_link.patch,补丁
core_link.select_comfy_folder,选择 ComfyUI 文件夹
core_link.platform_not_supported_title,平台不支持
core_link.folder_selection_not_supported,此平台不支持文件夹选择。
core_link.missing_title,缺少 Core Link
core_link.comfy_root_not_configured,尚未配置 ComfyUI 根路径。
core_link.folder_missing_title,文件夹缺失
core_link.folder_missing_message,未找到 {0} 文件夹。
core_link.hud_patch_unavailable_title,HUD 补丁不可用
core_link.hud_patch_missing_local_project,"找不到有效的同级 ComfyUI-HUD 项目。\n需要 hud.manifest.json、__init__.py 和 js/。"
core_link.patch_local_hud_title,补丁本地 HUD
core_link.patch_local_hud_message,"要把本地 HUD 文件复制到当前 ComfyUI 自定义节点吗？\n\n源：\n{0}\n\n目标：\n{1}"
core_link.hud_patch_complete_title,HUD 补丁完成
core_link.hud_patch_failed_title,HUD 补丁失败
core_link.bridge_patch_unavailable_title,Nexus Bridge 补丁不可用
core_link.bridge_patch_missing_hud_message,"ComfyUI-HUD 未安装或不完整。\n\n目标：\n{0}"
core_link.bridge_patch_missing_source_message,"找不到打包的 Nexus bridge 文件。\n\n源：\n{0}"
core_link.patch_nexus_bridge_title,补丁 Nexus Bridge
core_link.patch_nexus_bridge_message,"要把打包的 Nexus bridge 文件复制到当前 ComfyUI-HUD 安装中吗？\n\n源：\n{0}\n\n目标：\n{1}"
core_link.bridge_patch_complete_title,Nexus Bridge 补丁完成
core_link.bridge_patch_failed_title,Nexus Bridge 补丁失败
server_config.host_title,ComfyUI 主机
server_config.host_message,设置 Nexus 启动 ComfyUI 时使用的主机。
server_config.port_title,ComfyUI 端口
server_config.port_message,设置 Nexus 启动 ComfyUI 时使用的端口。
server_config.invalid_host_title,主机无效
server_config.invalid_host_message,请使用不含空格的简短主机值。
server_config.invalid_port_title,端口无效
server_config.invalid_port_message,请使用 1 到 65535 之间的端口。
server_config.restart_failed_title,重启失败
settings.validation.invalid_settings_title,设置无效
app.shutdown_failed_title,关闭失败
views.overlays.about_overlay_view.subtitle,运行时 Shell、本地桥接和 ComfyUI 启动上下文。
views.overlays.about_overlay_view.version,版本
views.overlays.about_overlay_view.comfyui_path,ComfyUI 路径
views.overlays.about_overlay_view.server_url,服务器 URL
views.overlays.about_overlay_view.python_mode,Python 模式
app.app_shell.home,首页
pages.main_page.main_page.model,模型
pages.main_page.main_page.preparing_restart,准备重启
pages.main_page.main_page.stopping_probes_and_server_process,正在停止探测和服务器进程...
pages.main_page.main_page.input_is_locked_until_current_operation_completes,当前操作完成前，输入已锁定。
views.components.folder_browser_view.browse_or_paste_folder_path,浏览或粘贴文件夹路径
views.components.folder_browser_view.parent,上级
views.components.folder_browser_view.drives,驱动器
views.components.folder_browser_view.browse,浏览
views.controls.option_deck.run_mode_option_deck_view.run,运行
views.controls.option_deck.run_mode_option_deck_view.run_on_change,更改时运行
views.controls.option_deck.run_mode_option_deck_view.run_instant,立即运行
views.overlays.bookmark_hud_view.nexus_workflow_index,工作流索引
views.overlays.bookmark_hud_view.search_workflows,搜索工作流...
views.overlays.bookmark_hud_view.0_workflows_registered,未注册工作流
views.overlays.canvas_toolbar_view.help_center,帮助中心
views.overlays.canvas_toolbar_view.terminal,终端
views.overlays.canvas_toolbar_view.shortcuts,快捷键
views.overlays.canvas_toolbar_view.fit,适应画布
views.overlays.canvas_toolbar_view.map,地图
views.overlays.canvas_toolbar_view.links,链接
views.overlays.command_input_view.console,控制台
views.overlays.loading_overlay_view.nexus_shell,NEXUS 外壳
views.overlays.loading_overlay_view.initializing_nexus_shell,正在初始化 NEXUS 外壳...
views.overlays.loading_overlay_view.open_setup,打开设置
views.overlays.loading_overlay_view.check_install,检查安装
views.overlays.loading_overlay_view.nexus_server_boot,NEXUS 服务器启动
views.overlays.loading_overlay_view.comfyui_configuration_is_ready_start_the_backend_service,配置已就绪。\n请启动后端服务以继续。
views.overlays.loading_overlay_view.state,状态
views.overlays.loading_overlay_view.engage_server,启动服务器
views.overlays.loading_overlay_view.start_backend_link,启动后端链接
views.overlays.loading_overlay_view.repair_cuda_runtime,修复 CUDA 运行环境
views.overlays.loading_overlay_view.access_denied_core_link_not_found,访问被拒绝：未找到核心链接
